,ner
372,"['phát triển', 'mã ck bid', 'việt bidv', 'công ty', 'bản', 'ngân hàng', 'chứng khoán', 'việt', 'vamc', 'và', 'đầu tư', 'bidv', 'việt nam']"
373,"['công ty', 'mã ck fpt', 'cổ phần', 'fpt']"
374,['bidv']
376,"['nam á các uỷ viên', 'ban chấp hành', 'quách hùng hiệp', 'đậu minh lâm chủ tịch', 'ngân hàng', 'hiệp hội', 'thị trường', 'vbma', 'hoàng huy hà', 'phạm phú khôi', 'quỹ bảo việt', 'nguyễn thị xuân thuỷ', 'bidv', 'việt nam', 'trái phiếu']"
381,"['vĩnh phúc', 'củ chi', 'nhật bản', 'tập đoàn', 'israel', 'đồng nai', 'tam đảo', 'tỉnh', 'tphcm', 'ubnd', 'quảng ninh', 'vingroup', 'hàn quốc', 'long thành']"
384,"['vincom', 'bình châu', 'khu', 'siêu thị', 'vimart tầng', '3', 'tập đoàn', 'thành phố', 'quảng ngãi', 'tỉnh', 'trần ngọc căng', 'ubnd', 'thương mại', 'bình châu tỉnh', 'vingroup']"
388,['pnj']
389,"['khối công', 'nghệ']"
390,"['vincom', 'vinmart', 'vn', 'công ty', 'tp', 'maximark gò vấp', 'siêu thị', 'trung bộ', 'vinmart tính', 'nam bộ', 'hcm', 'an phong', '2', 'vincom mega mall', 'vingroup', 'quận', 'maximark']"
392,"['phát triển', 'ngân hàng', 'và', 'đầu tư', 'bidv', 'tmcp', 'việt nam']"
399,"['quỹ ssi ssiam', 'công ty', 'tnhh', 'quản lý', 'ssi', 'daiwa']"
400,"['trung quốc', 'asean', 'ngân hàng', 'cdb', 'bidv', 'nhà nước', 'việt nam']"
404,['stb']
405,"['nghi lộc', 'masan', 'huyện', 'tỉnh', 'nghệ an']"
406,[]
408,"['cp', 'tập đoàn', 'vingroup công ty', 'vinhomes star', 'vic', 'vingroup']"
409,"['ssi', 'hose', 'hnx']"
411,[]
413,['pnj']
415,"['mã ck fpt', 'cổ phần', 'fpt', 'công ty', 'song']"
416,"['villa', 'phú quốc', 'đà nẵng', 'villas vinpearl golf land', 'đa khoa', 'vinpearl golf club', 'vinpearl resort', 'resort', 'vinmec', 'bình định', 'bệnh viện', '&', 'việt nam', 'hạ long', 'quốc tế', 'villas', 'villas vinpearl phú quốc', 'resort vinpearl phú quốc', 'vinpearl hạ long bay', 'hội an', 'tập đoàn', 'vinpearl land', 'phú yên', 'golf vinpearl', 'nha trang', 'vingroup', 'vinpearl']"
418,"['phát triển', 'cổ phần', 'mễ trì bên', 'mễ trì tải', 'giải trí', 'công ty', 'mễ trì', 'thể thao', 'và', 'vic']"
421,[]
424,['bidv']
428,['fpt']
429,"['an giang', 'mã', 'vincom cần thơ tttm', 'vincom việt trì', 'vincom mega mall thảo', 'sông', 'đồng bằng', 'tttm', 'cửu long', 'cp', 'được', 'nguyễn chí thanh', 'vincom plaza long xuyên', 'vingroup công ty', 'điền', 'vincom', 'long xuyên', 'tập đoàn', 'tphcm', 'hà nội', 'vic', 'vincom mega mall', 'vingroup']"
430,"['masan', 'cổ phần', 'nguyễn thiều nam', 'công ty', 'masan brewery', 'tập đoàn', 'hậu giang', 'huyện', 'miền', 'tỉnh', 'nam sông hậu', 'việt nam', 'nam bộ', 'đông', 'masan brewery hg', 'châu thành', 'tây nam bộ']"
435,"['phát triển', 'hose', 'điện tử', 'elc', 'ctcp', 'đầu tư', 'ssiam', 'công nghệ']"
436,['nhu']
437,"['nhuệ', 'sài đồng sdi', 'sông', 'đô thị', '2', 'phát triển', 'vinhomes', 'đường', 'hồng ngân đây', 'đầu tư', 'cổ phần', 'the arcadia', 'công ty', 'ctcp', 'mỹ đình', 'bất động sản', 'tập đoàn', 'hà nội đây', 'vinhomes gardenia', 'hàm nghi', 'vic', 'và', 'kinh doanh', 'tnhh', 'vingroup', 'the botanica trong']"
438,[]
439,['nghiêm xuân thành mã']
440,"['phát triển', 'tây', 'ctcp', 'tây tải', 'và', 'đầu tư', 'hồ', 'bất động sản']"
441,"['yên viên', 'sài gòn', 'phòng', 'thương tín', 'long biên', 'giao dịch', 'ngân hàng', 'thành phố', 'huyện', 'hà nội', 'gia lâm', 'yên viên địa', 'tmcp']"
442,"['đông á', 'tmcp', 'ngân hàng', 'pnj']"
443,"['địa ốc', 'đông á', 'ctcp']"
445,['ubcknn']
447,"['masan consumer holdings', 'asean', 'singha', 'masan', 'masan như', 'masan consumer', 'việt nam', 'masan brewery']"
449,['ubcknn']
451,"['phát triển', 'cổ phần', 'công ty', 'ngân hàng', 'thương mại', 'và', 'đầu tư', 'tnhh', 'việt nam', 'deloitte']"
456,['fpt']
457,['fpt']
461,[]
462,[]
463,"['vinhomes', 'công ty', 'đống', 'tập đoàn', 'bất', 'ản', 'quản lý', 'tnhh', 'vingroup']"
464,"['nguyễn thị cúc', 'thái lan', 'trung quốc', 'mekong capital', 'donga bank', 'công ty', 'quản lý', 'chris freund tổng giám đốc', 'chris', 'quỹ mekong capital', 'pnj', 'lợi nhuận', 'việt nam']"
465,[]
466,['stb']
467,['bid']
468,"['fpt', 'dương dũng triều', 'bảo', 'trương gia bình chủ tịch', 'đỗ cao bảo', 'viện', 'kỹ thuật', 'is', 'triều', 'quân sự', 'bùi quang ngọc tổng giám đốc', 'việt nam']"
469,[]
470,"['vincom', 'hà tĩnh', 'tp hcm', 'vingroup phạm nhật vượng', 'vingroup ubnd', 'tập đoàn', 'thành phố', 'huyện', 'tỉnh', 'vingroup ubnd hà tĩnh', 'vincom hà tĩnh', 'hà nội', 'ubnd', 'thạch bằng', 'lộc hà', 'vingroup', 'lộc hà dự kiến']"
471,['stb']
472,"['hà nội', 'hcm', 'tp', 'fpt']"
474,"['myanmar', 'mwg', 'tài', 'nguyễn đức tài chủ tịch']"
477,"['thế giới', 'ctcp', 'di động', 'đầu tư', 'mwg']"
478,"['ttf', 'võ trường thành chủ tịch', 'vingroup', 'hàn quốc']"
482,"['nam hải phòng', 'bình phước', 'phú quốc', 'đà nẵng', 'ngân hàng', 'thành phố', 'hưng yên', 'hcm', 'nhà nước']"
483,['ubcknn']
486,"['sở giao dịch', 'phố', 'hnx', 'xã', 'hai bà trưng', 'chứng khoán', 'huyện', 'đông anh', 'hà nội', 'việt hùng', 'savina việc', 'tràng tiền', 'savina', 'vingroup']"
487,['ubcknn']
488,['fpt']
489,['ubcknn']
490,"['việt nam', 'ttlk', 'chứng khoán']"
491,"['capital tower', 'trần bình trọng', 'gòn', 'phòng', 'giao dịch', 'tower', 'trần hưng đạo tầng', 'sài', 'nguyễn chí thanh', 'khoán', 'hoàn kiếm', 'đống', 'ctcp', 'trần hưng đạo quận', 'láng thượng quận', 'chứng', 'nguyễn chí thanh phường', 'hà nội', 'tnr']"
492,"['fpt', 'daewoo', 'hà nội', 'ba đình', 'kim mã ngọc khánh', 'khách sạn']"
494,['fpt']
497,"['phương', 'fpt', 'nguyễn thế phương', 'công ty', 'bản', 'nomura nhật bản', 'tập đoàn', 'chứng khoán', 'trương gia bình chủ tịch', 'việt', 'việt nam', 'báo', 'trading', 'đầu tư', 'bùi quang ngọc tổng giám đốc', 'shop thông']"
498,[]
499,"['ctcp', 'pnj', 'địa ốc', 'đông á bank', 'đông á theo']"
500,"['phương', 'fpt', 'trading hiện', 'nguyễn thế phương', 'trương gia bình', 'trading', 'retail']"
501,"['công ty', 'nội trong', 'savina', 'thành phố', 'kết', 'ctcp', 'hà', 'mvt', 'tnhh', 'việt nam', 'sách']"
502,[]
503,"['đường', 'thế giới', 'tp', 'nguyễn kiệm', 'hcm', 'di động', 'tân bình']"
504,"['bidv', 'vnpt']"
505,"['thu', 'myanmar', 'liên bang', 'đài loan', 'nga', 'forbes', 'nhnn', 'bidv', 'mhb']"
506,['fpt']
508,['fpt']
509,[]
